nome;numero;cidade;estado;potencia
Igualdade e União do Brasil;2035;Acreúna;GO;GOB
Entre Rios;3190;Água Limpa;GO;GOB
Mensageiros da Arte Real;3189;Aguas Lindas de Goiás;GO;GOB
Portal de Aquário;2983;Alto Paraiso;GO;GOB
Acácia Amarela Anapolina;4305;Anápolis;GO;GOB
Cavaleiros da Arte Real Anapolina;3138;Anápolis;GO;GOB
João Pedro Junqueira;2181;Anápolis;GO;GOB
Lealdade e Justiça;1222;Anápolis;GO;GOB
União e Justiça Anapolina;1907;Anápolis;GO;GOB
União Fraterna Anapolina;4635;Anápolis;GO;GOB
Universitária Filosofia e Cultura;3814;Anápolis;GO;GOB
Winston Churchill;2216;Anápolis;GO;GOB
Asilo da Liberdade;1801;Anicuns;GO;GOB
Acácia do Cerrado;3877;Aparecida de Goiânia;GO;GOB
Capela Aparecidense;2923;Aparecida de Goiânia;GO;GOB
Trabalho, Cultura e Perfeição;1887;Aparecida de Goiânia;GO;GOB
Estrela de Araçu;2080;Araçu;GO;GOB
Alvorada de Aragarças;1955;Aragarças;GO;GOB
União Belavistense;4216;Bela Vista de Goiás;GO;GOB
Dimas Nasser;2398;Bom Jardim de Goiás;GO;GOB
Justiça e União;2012;Bom Jesus de Goiás;GO;GOB
Estrela Buritialegrense;1359;Buriti Alegre;GO;GOB
Aurora de Caiapônia;1876;Caiaponia;GO;GOB
Segredo e União;1189;Caldas Novas;GO;GOB
Acácia Campo Alegrense;3203;Campo Alegre;GO;GOB
Estrela do Carmo;2651;Carmo Rio Verde;GO;GOB
José Marcelino da Silva;2217;Catalão;GO;GOB
Paz e Amor Iii;923;Catalão;GO;GOB
Vale do São Patrício;1334;Ceres;GO;GOB
Vale do Rio dos Bois;3699;Cezarina;GO;GOB
Justiça e Lealdade;3441;Cidade Ocidental;GO;GOB
Estrela dos Pirineus;3046;Corumba;GO;GOB
Luz Corumbaibense;1166;Corumbaiba;GO;GOB
Acácia Cristalinense;1233;Cristalina;GO;GOB
Estrela Crixaense;2047;Crixas;GO;GOB
Vale do Pirapitinga;3094;Cumari;GO;GOB
União e Sigilo;2320;Fazenda Nova;GO;GOB
Planalto do Bem;1282;Firminópolis;GO;GOB
Harmonia e Fraternidade;2753;Formosa;GO;GOB
União e Liberdade;1471;Formosa;GO;GOB
Asilo da Virtude;1132;Goiandira;GO;GOB
Estrela do Oriente;1360;Goianesia;GO;GOB
7 de Setembro;2126;Goiânia;GO;GOB
A Estrita Observância;4189;Goiânia;GO;GOB
A Sombra da Acácia;1948;Goiânia;GO;GOB
Acácia Brasiliense;1183;Goiânia;GO;GOB
Acadêmica Jair Assis Ribeiro;4108;Goiânia;GO;GOB
Alvorada Goiana;1949;Goiânia;GO;GOB
Arte Real;2560;Goiânia;GO;GOB
Asilo da Acácia;1248;Goiânia;GO;GOB
Aurora de Goiás;1393;Goiânia;GO;GOB
Cavaleiros de Aço;4354;Goiânia;GO;GOB
Elias Gabriel;2128;Goiânia;GO;GOB
Estrela No Horizonte;2575;Goiânia;GO;GOB
Filhos da Justiça;2284;Goiânia;GO;GOB
Flor da Acácia Goiana;1816;Goiânia;GO;GOB
Francis Bacon;2610;Goiânia;GO;GOB
Fraternidade Acadêmica Prof. Álvaro Palmeira;3776;Goiânia;GO;GOB
Guimarães Natal;1946;Goiânia;GO;GOB
João do Lago Nogueira Paranagua;2056;Goiânia;GO;GOB
João Xxiii;3192;Goiânia;GO;GOB
Liberdade e União;1158;Goiânia;GO;GOB
Loja de Pesquisas Maçônicas Brasil Central;2676;Goiânia;GO;GOB
Luz e Prudência;1976;Goiânia;GO;GOB
Luz e Saber;2380;Goiânia;GO;GOB
Luz No Horizonte;2038;Goiânia;GO;GOB
Luz, Amor e Vida;2079;Goiânia;GO;GOB
Martinez de Pasqually;4622;Goiânia;GO;GOB
Mensageiros da Liberdade;2513;Goiânia;GO;GOB
Mensageiros da Luz Celestial;4374;Goiânia;GO;GOB
Mensageiros da Paz;1435;Goiânia;GO;GOB
Minerva;1805;Goiânia;GO;GOB
Moderna Olavo Bilac;4027;Goiânia;GO;GOB
Nilson Alves Garcia;2033;Goiânia;GO;GOB
Obreiros da Arca Real;2926;Goiânia;GO;GOB
Obreiros da Lei e da Verdade;3438;Goiânia;GO;GOB
Ordem e Progresso;1196;Goiânia;GO;GOB
Ordem e União;3191;Goiânia;GO;GOB
Templários do Oriente;3799;Goiânia;GO;GOB
União de Canaã;2010;Goiânia;GO;GOB
União e Progresso;1935;Goiânia;GO;GOB
Universitária Goiana;4094;Goiânia;GO;GOB
Voluntários da Pátria;3440;Goiânia;GO;GOB
Azilo da Razão;167;Goias;GO;GOB
Fraterna União;1615;Goiatuba;GO;GOB
João Guerra de Oliveira;2154;Goiatuba;GO;GOB
João Racy;1385;Guapó;GO;GOB
Adelino Ferreira Machado;1957;Hidrolândia;GO;GOB
Otávio Balestra;2084;Inhumas;GO;GOB
Vigilância e Fraternidade de Inhumas;1160;Inhumas;GO;GOB
Paz e Amor Iv;948;Ipameri;GO;GOB
União de Ipora;1372;Ipora;GO;GOB
Vitória da Razão;1188;Itaberai;GO;GOB
Liberdade e Justiça de Itapaci;1617;Itapaci;GO;GOB
José Muniz de Carvalho;2238;Itapuranga;GO;GOB
Narceu de Almeida;2009;Itauçu;GO;GOB
Cruzeiro do Sul;1715;Itumbiara;GO;GOB
Justiça e Caridade;1293;Itumbiara;GO;GOB
Alfredo Nasser;2049;Jaragua;GO;GOB
Serrania Jaraguense;1283;Jaragua;GO;GOB
Liberdade do Sudoeste;2145;Jatai;GO;GOB
Obreiros do Cerrado;3789;Jatai;GO;GOB
Plenitude do Sigilo;1920;Jussara;GO;GOB
Estrela de Luziânia;1644;Luziania;GO;GOB
Vale do Rio Claro;1992;Montes Claros;GO;GOB
Luz e Liberdade;1191;Morrinhos;GO;GOB
Nerópolis;4316;Neropólis;GO;GOB
Roteiro da Amizade;1330;Neropólis;GO;GOB
Professor João Menezes;2034;Niquelândia;GO;GOB
Obreiros da Paz Ouroverdense;2490;Ouro Verde;GO;GOB
Olímpio de Miranda;2957;Ouvidor;GO;GOB
Deus, Ordem e Progresso;1481;Palmeiras de Goiás;GO;GOB
Estrela do Sudoeste;1645;Paranaiguara;GO;GOB
Segredo e Vigilância;1676;Parauna;GO;GOB
Luz e Virtude;1325;Piracanjuba;GO;GOB
Aprendizes do Bem;1940;Piranhas;GO;GOB
Fraternidade Meiapontense;1236;Pirenopolis;GO;GOB
Amor e Luz;1159;Pires do Rio;GO;GOB
União e Harmonia Planaltinense;3775;Planaltina;GO;GOB
Caridade e Justiça de Porangatu;1659;Porangatu;GO;GOB
Crepúsculo da Paz;2068;Porangatu;GO;GOB
Monte Sinai;2064;Quirinópolis;GO;GOB
Estrela Sertaneja;1232;Rialma;GO;GOB
Barnabé Soares da Silva;2055;Rianápolis;GO;GOB
Cavaleiros do Templo;2664;Rio Verde;GO;GOB
Estrella Rioverdense;1139;Rio Verde;GO;GOB
Templarios do Bem;1498;Rubiataba;GO;GOB
Estrela Montebelense;1590;S.Luis Montes Belos;GO;GOB
Harmonia e Verdade;1793;Santa Helena de Goiás;GO;GOB
Estrela do Araguaia;1770;São Miguel Araguaia;GO;GOB
Acácia Abadiense;4570;Trindade;GO;GOB
João Braz;1116;Trindade;GO;GOB
Vale do Tocantins;1338;Uruaçu;GO;GOB
General Lauro Sodré;1392;Uruana;GO;GOB
União e Concordia;1128;Urutaí;GO;GOB
Luz e Trabalho;2206;Valparaíso de Goiás;GO;GOB
